RCID,CBCPLUSID
2b8ce6c5-014a-4ddc-95e2-b07c7e54d5cc,
18dcb4a7-4605-4e69-9e05-feaa9eb8ef78,
4e793bd4-030a-4468-8e18-7f989258fd38,
788d02d2-ff4c-40b5-8e47-0b25d00cc85a,348fd3e7-49df-47ff-ab9c-ae599e54f99e
c37d7d98-887a-4a80-90a7-d64ebc6f66ae,
a3ccc018-deda-452a-83ba-aa5d4b6be172,6374f527-0b1d-4366-8e99-f4b4eb3c3811
403963d3-321f-402e-b62d-66052ea101a2,
b4406eff-04eb-448e-9dd5-fe47d5d91152,
41846598-939A-4AB4-B3D1-C4A86AEF89ED,5375c1a5-fc84-402d-9244-bbe9d0f26d64
651DFD31-1B89-4420-A08D-1B97880340F1,1ff9ac83-93d6-4841-9528-3d80af70b45d
2c76fb71-ec67-40a7-980c-86dcdba91880,
2C879B23-9D1E-44ED-B427-659B9219B6B2,792b3259-b3a9-434e-981a-f6e1a8933aff
47d446bf-62a3-415b-9832-469157c4c909,
52971b1c-850e-411a-9c92-dc6b41cc774e,
c1f8bf58-3250-4cc2-a87c-90065a3b2a21,
06f8dcaa-2b32-4f26-a90c-06896d913c5d,e2e07bda-4c9a-41ed-98d0-9eea3cb68d16
38D2552B-8B0F-4F3F-8B8C-57F3D22F494D,6cf9fa33-4e39-4c29-aab1-e1117cdb3072
72FE9B9E-D3AF-4615-9C3E-13E9802FBC00,f3795692-8dbd-4505-8370-52cb377abbc5
C0DFE7FF-1DE5-4A27-9012-E317B5E3CBC4,0267569d-8b35-4f49-9a9f-28e79f8e6c21
50cac89a-19ed-493c-a002-7ccdca123726,
fff20dd0-1d3f-411f-afe4-6da98a4900c7,
2e03668a-d96c-4d8f-9c78-eb688f1e2af3,
8208DF02-AE3D-46D7-A727-950578703023,763e4da9-e8f6-4368-880e-ebee00c868c9
B5628C03-D601-4888-88A2-3865FC6CAFE3,d8cab707-8286-4684-9efc-54480a88979c
95107b7f-9fd7-47d8-89b5-f37b5ebc9dc2,
d844e1d7-20a0-4781-9b7a-f0353e430ac5,
bce90e18-9641-4da0-9293-a2e6c93c46bd,
7430b8fc-01db-43c2-bd23-cc9a9529bbde,f2040a33-5cc8-40f3-8218-0b272c06d0ce
0476eef8-3d0f-4dab-94c0-ad0eb4d0a4d6,
D4F8F625-27A3-4652-9B2F-9BFC35811934,f66aac86-ef34-44d2-9767-3fa608b3b34d
dc560fd4-0fe6-4eef-94a9-ba75ecdd9357,
deb8337c-c6ea-4645-9fdc-ce060ef90d55,60406e67-8209-4f07-a308-5598dbb80d2a
6bcd9078-e811-45ef-91c2-f2da127aa12a,
37599c93-281c-49d9-b491-3be7ca285c05,686e85e5-fb40-4a13-bea9-636291a85f3a
fd9021db-27a0-4949-bca3-8e5e1861a5dc,
3CB64D61-1452-4CBF-A6C6-37D36FFE5FD6,44681c38-4c3d-4973-96fc-e69008239fc6
8d13b6b8-5298-431c-9cc2-807c00ce0143,
221904e5-df2e-4cac-9468-202bf576808a,
34fda956-90c6-447b-9ca2-1f4f56c2cfc7,
3165aa06-5b7f-4359-85bc-fef7fed68dc5,
2dfec1e1-cb57-4303-9bcd-4da99e18e483,
582c4bc8-2b0e-4c4a-a54a-7020c6255d3b,
42E801C2-9DB7-485E-9265-EC0F50C48FF3,fe1bab10-9155-4c44-b06f-2d30dd579fe9
906348E1-3397-4A95-955F-C3BCFD8F2EDF,f6fd40d6-7808-4110-b010-caf616accd33
d9085a2f-659d-42ad-8334-cec80673c355,
DE8C7717-10A4-4F47-87D2-F3A1BB04A072,b2534239-1f98-45fb-9418-498905a30cfd
f4603184-f912-4b77-91d5-5c6b12863f05,
ace4a3f1-2717-426a-b4cf-f8fdbbd0dd31,
78138bda-6c00-4854-a938-d6c13d6dfa0b,f91b3b15-060c-4360-8bbd-adff6789679d
95C68E56-16CD-4BDC-95F2-4E8844387E9D,a0050210-ed7c-401f-9797-e71101172acb
bd52114b-f1f7-4ce5-8f0a-0bcec4352487,
2c55aedf-9795-474b-af3b-4a20fc558f0a,
E5177189-81AA-4508-A582-E1BFF814D0DB,93c8ca20-4e1c-45e4-a3ec-f0ed79ed96ce
c3720e96-2a88-460e-b8cf-dd49ba2c96be,
78e7b109-f4d3-48fb-96dd-a8fba1a938c5,
9baae3de-256f-4aac-a680-7fda928a0848,
4fd37c86-a4b3-43b0-a849-db368c42dc24,
82002A1E-CA67-4DA4-A364-35F650E71C6F,9adf9e2c-2a34-4749-8e08-b35d94ea0853
1ee043d6-a33b-43d9-863d-e0b1b1f81c09,
B12E8408-32E9-454B-AF14-90041AC0BF24,1e412079-ca85-40d1-9a1a-4e577a7a1a18
78B149DF-FCA4-4EB4-BBEC-4315588E541E,8cb68416-c496-4a86-a2ab-49985d60284d
b80f8e84-d2d7-4645-b922-4caa16e17b1b,
f695a4c9-5fb6-4cc4-81ac-132517e53cce,ab3cc166-fb56-41f5-9abc-6c9cbce91dca
f286dc53-700c-4a67-a592-fbd111cc2c97,
58c76f17-fb55-4177-98d4-5a87db916ad0,
82b8622f-3f1c-45f0-bc9f-d26ed9e58170,
793b3c45-6b7c-49f7-a177-532b2ef70037,
CA3E515D-0AF8-4577-83B5-37711E9AA621,35876107-45d0-4c04-bd04-028cc74d1d10
cf02a871-1e97-458c-85ab-d36e25468478,
7F84FBFF-7446-4553-9309-C8723D6F81D7,fd3f27d0-c34a-49f0-a100-76193d38c341
6c4a20b7-761a-4cd2-8dd6-d02ad5faaab3,
a08c3c79-824a-44c0-8d07-33e586e4ef05,77143d02-5e55-4f19-a464-d3f64a3eebcd
87abdc07-45a3-422a-ba54-ee87eb02d29c,
BE922750-CF9E-4B5A-8459-BC4C3E46BEB0,189f2a53-491d-4ef1-98cd-ded8ecc35755
79c84449-e8e4-4baf-b509-6acef8c9e8aa,ce20a58e-bcdb-4214-bd66-61defa64f059
ffa547fa-50b1-43d5-b902-b1720147ed07,
af880e4d-cf2f-4398-a91e-a3d6ada63819,0b4bbf2c-ed32-4fc6-8bf6-f145e2a814ff
06ea5305-03af-4ae8-ba48-eed943a05f64,
1b2194b2-4708-40c5-9054-bd950964b2d7,
58a71bc1-9c70-41de-ba49-0599a58ca0a8,3c80b849-a9f2-4d4f-ad3a-53e430d877c2
1e78f064-4fae-419d-9bec-a0452cc0f21d,
c19c6a3b-24eb-4474-824d-5a010ed5cfa4,acaf4a85-fc4e-43a0-8742-893822431d12
16e725de-0f9c-42c8-881f-a9cd4039817b,
4DD2FC42-3A5E-412B-B28D-4C2500C10E60,9e3781b0-1b72-4cd3-9d3f-f4cf1ce8ad4a
DE6FFF3F-C788-4C2F-B6B2-209B4A88BB5E,1022c368-48aa-44fd-b610-d8fb1d253db3
334de9f4-9532-42da-96fa-aa6994d4a3bf,
cf75badf-b871-4367-b3f8-1763851bbbea,
c360aca3-c909-4e41-8cd2-9e7f405afc72,
F438357A-6D5F-4F6A-845B-BF134D31DC09,5253dc12-d879-4a8e-9403-6f9193c7be91
821a9f55-ca08-4a15-bd96-1e7f6ac253f0,
9c5acabb-f392-42f1-8e98-e199ed891ac5,
2084B4F1-4090-42F4-B521-D0D81209A7C0,5dc9eedc-fe78-4957-9b6b-8ad6c5c26cf4
c77ed569-c4d7-4776-820b-20474675d198,
01D51CDD-5C04-4EA4-AC3B-74BFEDE9D547,79ee72c2-bf63-42c2-a90d-fb76691753f0
7C79B2A6-D9D9-49C2-AA94-863C0405E8E4,8bf35aec-8f58-4e51-a8f8-f42db6926fce
718FE776-CBA9-43A5-8F30-9F9566604B17,4c6c33c7-e9b4-4c28-a053-08c475a0b392
A5568E5B-D2B7-4471-B297-FEB8AB938248,0562aaf6-4772-4d87-9293-ff3e5e465809
f6fce9fa-923a-48e8-9e36-09511c820f72,c55ba8f2-179a-42d6-b311-23ce2edfce0c
d30cb21c-f233-452e-bbe1-769f8cb5b450,
4bfc4183-3227-40a9-b399-aaddf039838d,
